TRAPPING.ROUND,SITE,TREATMENT,PLOT,TRAP,SPECIES,TICKS.LARVAE,TICKS.NYMPHS,TICKS.TOTAL
1,SGL103,CON,1,A,WFM,1,0,1
1,SGL103,CON,1,B,WFM,0,0,0
1,SGL103,CON,1,B,WFM,0,0,0
1,SGL103,CON,1,A,WFM,0,0,0
1,SGL103,2D,2,B,RBV,0,0,0
1,SGL103,2D,2,A,WFM,4,0,4
1,SGL103,6D,3,A,WFM,0,1,1
1,SGL103,6D,3,A,WFM,0,0,0
1,SGL103,6D,3,B,WFM,0,0,0
1,SGL103,6D,3,B,WFM,0,0,0
1,SGL103,CON,4,A,CHP,0,3,3
1,SGL103,CON,4,A,CHP,0,4,4
1,SGL103,CON,4,A,CHP,1,0,1
1,SGL103,CON,4,A,WFM,0,0,0
1,SGL103,CON,4,A,WFM,0,0,0
1,SGL103,CON,4,A,WFM,0,0,0
1,SGL103,2D,5,A,WFM,13,0,13
1,SGL103,2D,5,A,WFM,1,3,4
1,SGL103,2D,5,B,WFM,0,0,0
1,SGL103,2D,5,LB,WFM,1,2,3
1,SGL103,6D,6,A,WFM,0,0,0
1,SGL103,6D,6,B,WFM,0,0,0
1,SGL103,6D,6,A,WFM,0,1,1
1,SGL103,6D,6,B,WFM,1,1,2
1,SGL103,CON,7,A,WFM,0,3,3
1,SGL103,2D,8,A,WFM,0,0,0
1,SGL103,6D,9,B,NST,1,0,1
1,SGL103,6D,9,A,WFM,0,0,0
1,SGL103,6D,9,B,WFM,0,0,0
1,SGL103,6D,9,A,WFM,0,0,0
1,SGL103,6D,9,A,WFM,0,0,0
1,SGL103,6D,9,B,WFM,0,0,0
1,SGL176,CON,1,A,WFM,0,0,0
1,SGL176,CON,1,A,WFM,0,0,0
1,SGL176,CON,1,B,WFM,1,0,1
1,SGL176,6D,1,A,WFM,0,0,0
1,SGL176,CON,1,A,WFM,0,0,0
1,SGL176,CON,1,B,WFM,0,0,0
1,SGL176,CON,1,B,WFM,0,0,0
1,SGL176,2D,2,B,WFM,0,0,0
1,SGL176,2D,2,A,WFM,0,0,0
1,SGL176,2D,2,A,WFM,0,1,1
1,SGL176,2D,2,A,WFM,0,0,0
1,SGL176,2D,2,LB,WFM,0,0,0
1,SGL176,6D,3,A,WFM,0,2,2
1,SGL176,6D,3,A,WFM,0,0,0
1,SGL176,6D,3,A,WFM,0,0,0
1,SGL176,6D,3,A,WFM,0,0,0
1,SGL176,6D,3,A,WFM,0,0,0
1,SGL176,6D,3,B,WFM,0,0,0
1,SGL176,CON,4,B,WFM,0,1,1
1,SGL176,2D,5,B,WFM,0,0,0
1,SGL176,6D,6,B,WFM,0,0,0
1,SGL176,6D,6,B,WFM,0,0,0
1,SGL176,CON,7,A,WFM,2,1,3
1,SGL176,CON,7,B,WFM,1,3,4
1,SGL176,CON,7,B,WFM,0,1,1
1,SGL176,2D,8,A,WFM,0,1,1
1,SGL33,CON,1,B,WFM,1,2,3
1,SGL33,CON,1,A,WFM,0,1,1
1,SGL33,CON,1,A,WFM,4,0,4
1,SGL33,CON,1,B,WFM,0,0,0
1,SGL33,2D,2,A,RBV,0,0,0
1,SGL33,2D,2,A,RBV,0,0,0
1,SGL33,2D,2,B,RBV,0,0,0
1,SGL33,2D,2,A,WFM,0,0,0
1,SGL33,2D,2,B,WFM,0,0,0
1,SGL33,2D,2,B,WFM,0,0,0
1,SGL33,2D,2,B,WFM,37,3,40
1,SGL33,6D,3,A,WFM,0,0,0
1,SGL33,CON,4,A,WFM,1,2,3
1,SGL33,2D,5,A,WFM,2,2,4
1,SGL33,2D,5,B,WFM,0,0,0
1,SGL33,6D,6,A,RBV,0,0,0
1,SGL33,6D,6,B,WFM,0,0,0
1,SGL33,CON,7,A,RBV,0,0,0
1,SGL33,CON,7,A,RBV,0,0,0
1,SGL33,CON,7,LA,RBV,0,0,0
1,SGL33,CON,7,A,RBV,0,0,0
1,SGL33,CON,7,B,RBV,0,0,0
1,SGL33,CON,7,B,RBV,0,0,0
1,SGL33,CON,7,B,RBV,0,0,0
1,SGL33,CON,7,LA,RBV,0,0,0
1,SGL33,CON,7,A,WFM,0,0,0
1,SGL33,2D,8,B,RBV,0,0,0
1,SGL33,2D,8,A,WFM,0,0,0
1,SGL33,2D,8,A,WFM,0,1,1
1,SGL33,2D,8,B,WFM,1,0,1
1,SGL33,2D,8,B,WFM,0,4,4
1,SGL33,2D,8,B,WFM,0,0,0
1,SGL33,6D,9,A,WFM,0,0,0
1,SGL33,6D,9,A,WFM,0,0,0
1,SGL33,6D,9,A,WFM,0,0,0
1,SGL33,6D,9,B,WFM,0,0,0
1,SGL33,6D,9,A,WFM,0,0,0
1,SGL33,6D,9,B,WFM,0,0,0
1,SGL33,CON,10,B,WFM,0,0,0
1,SGL33,2D,11,A,WFM,0,0,0
1,SGL33,2D,11,B,WFM,0,1,1
1,SGL33,2D,11,B,WFM,0,0,0
1,SGL33,2D,11,A,WFM,0,0,0
1,SGL33,2D,11,A,WFM,0,0,0
1,SGL33,6D,12,B,WFM,0,0,0
2,SGL103,CON,1,LA,WFM,4,0,4
2,SGL103,CON,1,LA,WFM,5,0,5
2,SGL103,CON,1,LA,WFM,0,0,0
2,SGL103,CON,1,A,WFM,0,0,0
2,SGL103,CON,1,A,WFM,1,0,1
2,SGL103,CON,1,LB,WFM,0,0,0
2,SGL103,2D,2,A,WFM,1,0,1
2,SGL103,2D,2,B,WFM,0,0,0
2,SGL103,2D,2,A,WFM,0,0,0
2,SGL103,2D,2,B,WFM,0,0,0
2,SGL103,6D,3,A,WFM,0,0,0
2,SGL103,6D,3,B,WFM,0,0,0
2,SGL103,6D,3,B,WFM,0,0,0
2,SGL103,6D,3,B,WFM,1,0,1
2,SGL103,CON,4,A,CHP,2,0,2
2,SGL103,CON,4,A,WFM,0,0,0
2,SGL103,CON,4,A,WFM,3,0,3
2,SGL103,CON,4,A,WFM,1,2,3
2,SGL103,2D,5,B,WFM,0,0,0
2,SGL103,2D,5,B,WFM,1,0,1
2,SGL103,2D,5,LA,WFM,0,0,0
2,SGL103,2D,5,LB,WFM,1,0,1
2,SGL103,2D,5,A,WFM,0,0,0
2,SGL103,2D,5,A,WFM,2,0,2
2,SGL103,2D,5,B,WFM,3,0,3
2,SGL103,6D,6,A,WFM,0,0,0
2,SGL103,6D,6,A,WFM,0,0,0
2,SGL103,6D,6,B,WFM,1,0,1
2,SGL103,6D,6,B,WFM,0,0,0
2,SGL103,CON,7,B,WFM,4,1,5
2,SGL103,2D,8,B,WFM,3,0,3
2,SGL103,2D,8,B,WFM,0,0,0
2,SGL103,2D,8,B,WFM,2,0,2
2,SGL103,2D,8,A,WFM,0,0,0
2,SGL103,6D,9,B,NST,8,0,8
2,SGL103,6D,9,A,WFM,1,1,2
2,SGL103,6D,9,A,WFM,0,0,0
2,SGL103,6D,9,LA,WFM,0,0,0
2,SGL176,CON,1,B,CHP,3,0,3
2,SGL176,CON,1,A,WFM,3,0,3
2,SGL176,CON,1,A,WFM,5,0,5
2,SGL176,CON,1,A,WFM,0,0,0
2,SGL176,CON,1,B,WFM,0,0,0
2,SGL176,CON,1,B,WFM,5,0,5
2,SGL176,CON,1,B,WFM,6,0,6
2,SGL176,CON,1,A,WFM,0,0,0
2,SGL176,CON,1,A,WFM,0,0,0
2,SGL176,CON,1,A,WFM,0,0,0
2,SGL176,CON,1,A,WFM,3,0,3
2,SGL176,CON,1,A,WFM,1,0,1
2,SGL176,2D,2,LB,CHP,0,0,0
2,SGL176,2D,2,A,WFM,0,0,0
2,SGL176,2D,2,A,WFM,0,0,0
2,SGL176,2D,2,A,WFM,0,0,0
2,SGL176,2D,2,A,WFM,0,0,0
2,SGL176,2D,2,B,WFM,0,0,0
2,SGL176,2D,2,B,WFM,2,0,2
2,SGL176,2D,2,B,WFM,0,0,0
2,SGL176,2D,2,LA,WFM,1,0,1
2,SGL176,2D,2,B,WFM,0,0,0
2,SGL176,6D,3,A,WFM,0,0,0
2,SGL176,2D,3,A,WFM,0,0,0
2,SGL176,6D,3,B,WFM,0,0,0
2,SGL176,6D,3,A,WFM,11,0,11
2,SGL176,6D,3,A,WFM,0,0,0
2,SGL176,6D,3,B,WFM,0,0,0
2,SGL176,6D,3,B,WFM,0,0,0
2,SGL176,6D,3,B,WFM,1,0,1
2,SGL176,6D,3,B,WFM,0,0,0
2,SGL176,CON,4,B,WFM,0,0,0
2,SGL176,CON,4,B,WFM,3,0,3
2,SGL176,CON,4,A,WFM,0,0,0
2,SGL176,CON,4,B,WFM,0,0,0
2,SGL176,CON,4,A,WFM,1,0,1
2,SGL176,CON,4,A,WFM,0,0,0
2,SGL176,CON,4,A,WFM,2,0,2
2,SGL176,2D,5,A,WFM,0,0,0
2,SGL176,2D,5,B,WFM,0,0,0
2,SGL176,2D,5,B,WFM,0,0,0
2,SGL176,2D,5,B,WFM,0,0,0
2,SGL176,6D,6,A,WFM,0,2,2
2,SGL176,6D,6,LB,WFM,0,1,1
2,SGL176,6D,6,B,WFM,0,0,0
2,SGL176,6D,6,A,WFM,0,0,0
2,SGL176,6D,6,B,WFM,0,0,0
2,SGL176,6D,6,LA,WFM,5,0,5
2,SGL176,6D,6,A,WFM,0,0,0
2,SGL176,6D,6,B,WFM,0,0,0
2,SGL176,6D,6,B,WFM,2,0,2
2,SGL176,6D,6,B,WFM,3,0,3
2,SGL176,CON,7,B,CHP,2,3,5
2,SGL176,CON,7,A,NST,2,0,2
2,SGL176,CON,7,A,NST,5,0,5
2,SGL176,CON,7,A,WFM,0,0,0
2,SGL176,CON,7,B,WFM,0,0,0
2,SGL176,CON,7,B,WFM,2,0,2
2,SGL176,CON,7,A,WFM,2,0,2
2,SGL176,2D,8,A,WFM,2,0,2
2,SGL176,6D,9,A,WFM,0,0,0
2,SGL176,6D,9,A,WFM,0,0,0
2,SGL176,6D,9,B,WFM,0,1,1
2,SGL33,CON,1,B,WFM,1,0,1
2,SGL33,2D,2,A,RBV,1,0,1
2,SGL33,2D,2,A,RBV,3,0,3
2,SGL33,2D,2,B,WFM,0,0,0
2,SGL33,2D,2,B,WFM,0,0,0
2,SGL33,6D,3,A,RBV,3,0,3
2,SGL33,6D,3,A,WFM,0,0,0
2,SGL33,6D,3,B,WFM,0,0,0
2,SGL33,6D,3,LA,WFM,2,0,2
2,SGL33,6D,3,B,WFM,0,0,0
2,SGL33,6D,3,A,WFM,12,0,12
2,SGL33,CON,4,A,WFM,5,0,5
2,SGL33,CON,4,B,WFM,0,0,0
2,SGL33,CON,4,B,WFM,6,0,6
2,SGL33,CON,4,B,WFM,3,0,3
2,SGL33,2D,5,B,WFM,0,0,0
2,SGL33,2D,5,LB,WFM,0,0,0
2,SGL33,2D,5,A,WFM,4,0,4
2,SGL33,6D,6,B,RBV,0,0,0
2,SGL33,6D,6,B,RBV,0,0,0
2,SGL33,6D,6,A,WFM,1,0,1
2,SGL33,6D,6,B,WFM,2,0,2
2,SGL33,6D,6,B,WFM,0,0,0
2,SGL33,CON,7,A,RBV,0,0,0
2,SGL33,CON,7,B,RBV,1,0,1
2,SGL33,CON,7,A,WFM,7,0,7
2,SGL33,CON,7,A,WFM,2,0,2
2,SGL33,CON,7,A,WFM,3,0,3
2,SGL33,2D,8,A,RBV,0,0,0
2,SGL33,2D,8,B,WFM,2,0,2
2,SGL33,2D,8,B,WFM,0,0,0
2,SGL33,2D,8,B,WFM,0,0,0
2,SGL33,2D,8,B,WFM,0,0,0
2,SGL33,2D,8,B,WFM,0,0,0
2,SGL33,2D,8,B,WFM,0,0,0
2,SGL33,2D,8,B,WFM,0,0,0
2,SGL33,2D,8,B,WFM,0,0,0
2,SGL33,2D,8,B,WFM,0,0,0
2,SGL33,6D,9,A,WFM,0,0,0
2,SGL33,6D,9,A,WFM,3,0,3
2,SGL33,6D,9,B,WFM,0,0,0
2,SGL33,6D,9,A,WFM,0,0,0
2,SGL33,6D,9,A,WFM,0,0,0
2,SGL33,6D,9,A,WFM,2,0,2
2,SGL33,6D,9,B,WFM,1,0,1
2,SGL33,6D,9,A,WFM,0,0,0
2,SGL33,6D,9,B,WFM,0,0,0
2,SGL33,6D,9,B,WFM,7,0,7
2,SGL33,CON,10,A,CHP,3,0,3
2,SGL33,CON,10,A,WFM,2,0,2
2,SGL33,CON,10,A,WFM,0,0,0
2,SGL33,CON,10,A,WFM,1,0,1
2,SGL33,CON,10,B,WFM,6,0,6
2,SGL33,CON,10,B,WFM,22,0,22
2,SGL33,CON,10,A,WFM,0,1,1
2,SGL33,CON,10,A,WFM,0,0,0
2,SGL33,CON,10,B,WFM,4,0,4
2,SGL33,CON,10,B,WFM,2,0,2
2,SGL33,CON,10,A,WFM,7,0,7
2,SGL33,CON,10,B,WFM,5,0,5
2,SGL33,2D,11,A,WFM,2,0,2
2,SGL33,2D,11,A,WFM,3,0,3
2,SGL33,2D,11,A,WFM,3,0,3
2,SGL33,2D,11,A,WFM,0,0,0
2,SGL33,2D,11,B,WFM,0,0,0
2,SGL33,2D,11,B,WFM,1,0,1
2,SGL33,2D,11,B,WFM,0,0,0
2,SGL33,6D,12,B,WFM,0,0,0
2,SGL33,6D,12,LA,WFM,1,0,1
2,SGL33,6D,12,A,WFM,0,0,0
2,SGL33,6D,12,A,WFM,0,0,0
2,SGL33,6D,12,A,WFM,1,0,1
2,SGL33,6D,12,A,WFM,0,0,0
2,SGL33,6D,12,B,WFM,0,0,0
2,SGL33,6D,12,B,WFM,0,0,0
2,SGL33,6D,12,B,WFM,4,0,4
