TUBE.ID,PLOT.ID,MONTH,TREATMENT,TOT.COTTON.LOSS,DAMAGE.SCORE
PSU-SGL33-P2-A1,P2,APRIL,2D,1.79,2
PSU-SGL33-P2-A2,P2,APRIL,2D,4.01,3
PSU-SGL33-P2-A3,P2,APRIL,2D,4.61,4
PSU-SGL33-P2-A4,P2,APRIL,2D,4.41,5
PSU-SGL33-P2-A5,P2,APRIL,2D,4.37,3
PSU-SGL33-P2-A6,P2,APRIL,2D,4.41,3
PSU-SGL33-P2-A7,P2,APRIL,2D,2.05,4
PSU-SGL33-P2-A8,P2,APRIL,2D,4.23,5
PSU-SGL33-P2-A9,P2,APRIL,2D,4.5,2
PSU-SGL33-P2-A10,P2,APRIL,2D,4.42,3
PSU-SGL33-P2-A11,P2,APRIL,2D,2.53,5
PSU-SGL33-P2-A12,P2,APRIL,2D,2.16,4
PSU-SGL33-P2-B1,P2,APRIL,2D,2.39,5
PSU-SGL33-P2-B2,P2,APRIL,2D,4.38,2
PSU-SGL33-P2-B3,P2,APRIL,2D,4.12,3
PSU-SGL33-P2-B4,P2,APRIL,2D,0.94,1
PSU-SGL33-P2-B5,P2,APRIL,2D,0.91,3
PSU-SGL33-P2-B6,P2,APRIL,2D,4.07,4
PSU-SGL33-P2-B7,P2,APRIL,2D,4.27,4
PSU-SGL33-P2-B8,P2,APRIL,2D,4.3,5
PSU-SGL33-P2-B9,P2,APRIL,2D,4.32,5
PSU-SGL33-P2-B10,P2,APRIL,2D,4.38,4
PSU-SGL33-P2-B11,P2,APRIL,2D,2.98,4
PSU-SGL33-P2-B12,P2,APRIL,2D,1.75,4
PSU-SGL33-P3-A1,P3,APRIL,6D,2.73,1
PSU-SGL33-P3-A2,P3,APRIL,6D,1.98,2
PSU-SGL33-P3-A3,P3,APRIL,6D,0.5,2
PSU-SGL33-P3-A4,P3,APRIL,6D,0.27,1
PSU-SGL33-P3-A5,P3,APRIL,6D,0.1,1
PSU-SGL33-P3-A6,P3,APRIL,6D,0.13,1
PSU-SGL33-P3-A7,P3,APRIL,6D,0.21,1
PSU-SGL33-P3-A8,P3,APRIL,6D,0.19,1
PSU-SGL33-P3-A9,P3,APRIL,6D,0.12,2
PSU-SGL33-P3-A10,P3,APRIL,6D,0.02,1
PSU-SGL33-P3-A11,P3,APRIL,6D,0.07,2
PSU-SGL33-P3-A12,P3,APRIL,6D,4.37,2
PSU-SGL33-P3-B1,P3,APRIL,6D,0.29,1
PSU-SGL33-P3-B2,P3,APRIL,6D,4.31,2
PSU-SGL33-P3-B3,P3,APRIL,6D,0.26,1
PSU-SGL33-P3-B4,P3,APRIL,6D,0.17,2
PSU-SGL33-P3-B5,P3,APRIL,6D,0.47,2
PSU-SGL33-P3-B6,P3,APRIL,6D,0.32,2
PSU-SGL33-P3-B7,P3,APRIL,6D,0.35,2
PSU-SGL33-P3-B8,P3,APRIL,6D,0.34,1
PSU-SGL33-P3-B9,P3,APRIL,6D,0.18,1
PSU-SGL33-P3-B10,P3,APRIL,6D,0.29,1
PSU-SGL33-P3-B11,P3,APRIL,6D,0.25,2
PSU-SGL33-P3-B12,P3,APRIL,6D,0.17,2
PSU-SGL33-P5-A1,P5,APRIL,2D,3.51,1
PSU-SGL33-P5-A2,P5,APRIL,2D,0.44,2
PSU-SGL33-P5-A3,P5,APRIL,2D,1.43,3
PSU-SGL33-P5-A4,P5,APRIL,2D,1.53,3
PSU-SGL33-P5-A5,P5,APRIL,2D,1.1,2
PSU-SGL33-P5-A6,P5,APRIL,2D,1.6,3
PSU-SGL33-P5-A7,P5,APRIL,2D,3.71,3
PSU-SGL33-P5-A8,P5,APRIL,2D,2.04,2
PSU-SGL33-P5-A9,P5,APRIL,2D,3.19,5
PSU-SGL33-P5-A10,P5,APRIL,2D,4.43,3
PSU-SGL33-P5-A11,P5,APRIL,2D,1.21,5
