Gamelands,Plot,Species,Diameter,Diameter^2,Ba/Tree,Plot.Size.A 
SGL 176,P1,Red Maple,10.67,113.8489,0.008941693,0.0091
SGL 176,P1,Red Maple,20.32,412.9024,0.032429354,0.0091
SGL 176,P1,Red Maple,11.43,130.6449,0.01026085,0.0091
SGL 176,P2,Red Maple,13.72,188.2384,0.014784244,0.0091
SGL 176,P2,Bigtooth Aspen,34.29,1175.8041,0.092347654,0.0091
SGL 176,P2,Sassafras,13.97,195.1609,0.015327937,0.0091
SGL 176,P2,Snag,16.76,280.8976,0.022061698,0.0091
SGL 176,P2,Bigtooth Aspen,36.32,1319.1424,0.103605444,0.0091
SGL 176,P2,Bigtooth Aspen,35.05,1228.5025,0.096486586,0.0091
SGL 176,P2,Eastern White Pine,15.75,248.0625,0.019482829,0.0091
SGL 176,P2,White Oak,11.68,136.4224,0.010714615,0.0091
SGL 176,P3,Bigtooth Aspen,33.27,1106.8929,0.086935368,0.0091
SGL 176,P3,Bigtooth Aspen,39.88,1590.4144,0.124911147,0.0091
SGL 176,P3,Red Maple,12.95,167.7025,0.013171354,0.0091
SGL 176,P3,Bigtooth Aspen,24.89,619.5121,0.04865648,0.0091
SGL 176,P3,Bigtooth Aspen,37.34,1394.2756,0.109506406,0.0091
SGL 176,P3,Red Maple,10.16,103.2256,0.008107339,0.0091
SGL 176,P3,Bigtooth Aspen,32.26,1040.7076,0.081737175,0.0091
SGL 176,P3,Snag,23.88,570.2544,0.044787781,0.0091
SGL 176,P3,Bigtooth Aspen,39.12,1530.3744,0.120195605,0.0091
SGL 176,P4,Red Maple,10.16,103.2256,0.008107339,0.0091
SGL 176,P4,Scarlet Oak ,33.78,1141.0884,0.089621083,0.0091
SGL 176,P5,White Oak,39.88,1590.4144,0.124911147,0.0091
SGL 176,P5,Snag,10.41,108.3681,0.008511231,0.0091
SGL 176,P5,Red Maple,11.43,130.6449,0.01026085,0.0091
SGL 176,P5,Red Maple,10.41,108.3681,0.008511231,0.0091
SGL 176,P5,White Oak,44.7,1998.09,0.156929989,0.0091
SGL 176,P5,Black Cherry ,10.92,119.2464,0.009365612,0.0091
SGL 176,P6,Scarlet Oak ,43.43,1886.1649,0.148139391,0.0091
SGL 176,P6,White Oak,35.31,1246.7961,0.097923366,0.0091
