Year,Date,SGL,Plot,Transect,Trap,ID,Recapture,Species,Sex,Age,Total.Wt,Bag.Wt ,Animal.Wt,Ear.Length,Foot.Length,Tail.Length,Body.Length,Larvae,Nymphs,Total.Ticks,Fleas,Other.Ectoparasites,Tissue.Sample,Blood.Sample,Fecal.Sample,Cardiac.Serum,Brain.Sample,Treatment.Control
2025,8/7/25,SGL33,1,B,5,BK371,N,WFM,M,AD,27,11,16,1.1,,,7.5,1,0,,0,0,Yes,Yes,Yes,,,C
2025,8/7/25,SGL33,2,A,4,BYCATCH,N,FSQ,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,2,A,10,BK381,N,RBV,F,AD,31,9,22,1.25,,,7,3,0,,0,0,Yes,Yes,Yes,,,T
2025,8/7/25,SGL33,2,B,6,BK494,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,2,B,8,BK474,Y,WFM,M,AD,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,2,A,5,R199,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,3,LB,7,BYCATCH,N,BRD,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,3,A,10,BK314,N,WFM,M,AD,32,11,21,1,,,9.6,12,0,,0,0,Yes,Yes,No,,,T
2025,8/7/25,SGL33,4,B,5,BK442,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,4,B,6,BK198,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,4,B,7,BK197,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,4,B,10,BK467,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,4,B,5,BK442,Y,,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,4,B,7,BK197,Y,,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,5,LB,6,BK365,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,5,A,6,BK320,N,WFM,M,AD,68,47,21,1.1,,,8.2,4,0,,0,0,Yes,Yes,Yes,,,T
2025,8/7/25,SGL33,5,A,5,BK341,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,7,B,11,R454,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,8,B,9,BK496,N,WFM,M,AD,57,36,21,1.25,,,8.5,0,0,,0,0,Yes,Yes,No,,,T
2025,8/7/25,SGL33,8,B,6,R397,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,8,B,7,BK452,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,8,B,8,BK405,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,8,A,5,R419,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,9,B,3,BK351,N,WFM,M,AD,45,23,22,1.6,,,8.8,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/7/25,SGL33,9,B,6,BK360,N,WFM,M,AD,42,26,16,1.4,,,8.6,7,0,,0,0,Yes,Yes,Yes,,,T
2025,8/7/25,SGL33,9,B,10,BK493,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,9,A,11,BK457,N,WFM,M,AD,30,10,20,1.4,,,9.3,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/7/25,SGL33,9,A,8,BK199,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,9,A,9,R389,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,10,B,9,BK374,N,WFM,F,AD,42,27,15,1.2,,,8,5,0,,0,0,Yes,No,Yes,,,C
2025,8/7/25,SGL33,10,B,11,BK492,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,10,A,11,BK388,N,WFM,M,AD,61,27,34,1.25,,,8,7,0,,0,0,Yes,Yes,Yes,,,C
2025,8/7/25,SGL33,10,A,2,BK176,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,10,A,5,R408,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,10,A,7,BK401,Y,WFM,,,,,,,,,,,,,,,,,,,,C
2025,8/7/25,SGL33,11,B,11,R352,N,WFM,F,AD,57,42,15,1.6,,,8.7,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/7/25,SGL33,11,B,2,R388,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,11,B,7,BK164,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,11,A,2,BK336,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,11,A,7,BK457,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,11,A,8,R443,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,11,A,11,BK383,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,12,LB,6,BK384,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,12,B,2,BK167,N,WFM,F,AD,28,11,17,2,,,8.5,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/7/25,SGL33,12,B,11,BK479,N,WFM,F,AD,42,24,18,1.7,,,8.3,4,0,,0,1,Yes,Yes,Yes,,,T
2025,8/7/25,SGL33,12,A,10,BK470,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/7/25,SGL33,12,A,11,BK370,Y,WFM,,,,,,,,,,,,,,,,,,,,T
2025,8/6/25,SGL33,2,B,6,BK494,N,WFM,M,AD,41,18,23,1.8,,,9.3,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/6/25,SGL33,3,A,6,BK488,N,RBV,M,AD,41,18,23,1.3,,,9.1,3,0,,0,EAR MITES,Yes,Yes,No,,,T
2025,8/6/25,SGL33,3,B,8,BK473,N,WFM,F,AD,41,22,19,1.6,,,8.6,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/6/25,SGL33,3,A,3,BK187,Y,,,,,,,,,,,,,,,,,,,,,T
2025,8/6/25,SGL33,3,A,7,BK367,Y,,,,,,,,,,,,,,,,,,,,,T
2025,8/6/25,SGL33,4,B,10,BK197,N,WFM,F,AD,48,30,18,1.1,,,8.5,3,0,,0,0,Yes,Yes,No,,,C
2025,8/6/25,SGL33,4,B,3,BK198,Y,,,,,,,,,,,,,,,,,,,,,C
2025,8/6/25,SGL33,4,B,5,BK467,Y,,,,,,,,,,,,,,,,,,,,,C
2025,8/6/25,SGL33,4,A,3,BK442,Y,,,,,,,,,,,,,,,,,,,,,C
2025,8/6/25,SGL33,5,LB,6,BK365,N,WFM,M,AD,69,49,20,1,,,8,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/6/25,SGL33,5,A,7,BK341,Y,,,,,,,,,,,,,,,,,,,,,T
2025,8/6/25,SGL33,6,B,5,BK387,N,RBV,F,AD,43,21,22,1.2,,,10,0,0,,0,0,Yes,Yes,No,,,T
2025,8/6/25,SGL33,6,B,11,BK392,N,RBV,M,AD,36,18,18,1.2,,,8.3,0,0,,0,EAR MITES,Yes,Yes,No,,,T
2025,8/6/25,SGL33,6,B,8,BK418,Y,,,,,,,,,,,,,,,,,,,,,T
2025,8/6/25,SGL33,7,B,2,R367,Y,RBV,M,AD,41,19,22,1.4,,,9.4,1,0,,0,0,Yes,Yes,No,,,C
2025,8/6/25,SGL33,7,A,3,NO TAG #,N,WFM,M,AD,33,10,23,1.7,,,9.5,2,0,,0,0,Yes,Yes,No,Yes,,C
2025,8/6/25,SGL33,7,A,11,R454,Y,WFM,M,AD,44,21,23,1.6,,,9.4,3,0,,0,0,Yes,Yes,Yes,,,C
2025,8/6/25,SGL33,8,B,5,R397,Y,WFM,M,AD,60,37,23,1.6,,,9.9,0,0,,0,0,Yes,Yes,No,,,T
2025,8/6/25,SGL33,8,B,7,R419,N,WFM,M,AD,35,9,26,1.5,,,8.5,0,0,,0,0,Yes,No,No,,,T
2025,8/6/25,SGL33,8,B,11,BK487,N,WFM,F,AD,42,23,19,1.9,,,8.4,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/6/25,SGL33,8,B,4,BK490,N,WFM,M,AD,52,35,17,1.8,,,7.5,0,0,,0,0,Yes,Yes,Yes,,,T
2025,8/6/25,SGL33,8,B,8,BK452,Y,,,,,,,,,,,,,,,,,,,,,T
2025,8/6/25,SGL33,8,A,8,BK405,Y,,,,,,,,,,,,,,,,,,,,,T
2025,8/6/25,SGL33,9,B,2,BK326,N,WFM,M,AD,48,39,9,1.1,,,7.5,1,0,,0,0,Yes,Yes,No,,,T
2025,8/6/25,SGL33,9,A,5,BK190,N,WFM,F,AD,50,32,18,1.5,,,7.5,2,0,,0,0,Yes,Yes,No,,,T
