Year,Month,Date,Treatment/Control,SGL,Plot,Transect,Trap,ID,Recapture?,Specimen.Species,Sex?,Age?,Total.WT,Bag.WT,Animal.Weight,Ear.length,Foot.length,Tail.length,Body.length,Larvae,Nymphs,Ticks.Total,Fleas ,Other.Ectoparasites,
2019,August,8/6/19,C,SGL103,B,C1,10,BLACK101,N,WFM ,M,JUV,,,14,1.5,2,,7.5,,,6,,,
2019,August,8/6/19,C,SGL103,A,CE,13,BLACK226,Y,WFM ,M,AD,,,,,,,,,,4,,,
2019,August,8/6/19,C,SGL103,A,C3,4,BLACK257,N,WFM ,,JUV,,,18,1.3,2,,8,,,15,,,
2019,August,8/6/19,C,SGL103,A,C3,2,BLACK267,N,WFM ,,AD,,,22,1.5,1.9,,7.5,,,7,,,
2019,August,8/6/19,C,SGL103,A,CE,14,BLACK282,Y,WFM ,F,JUV,,,,,,,,,,7,,,
2019,August,8/6/19,C,SGL103,A,CE,20,BLACK294,Y,WFM ,F,AD,,,,,,,,,,0,,,
2019,August,8/13/19,C,SGL103,A,C2,2,BLACK226,Y,WFM ,M,AD,,,,,,,,,,10,,,
2019,August,8/13/19,C,SGL103,A,C3,6,BLACK257,Y,WFM ,,,,,,,,,,,,14,,,
2019,August,8/13/19,C,SGL103,A,CE,23,BLACK267,Y,WFM ,,AD,,,,,,,,,,10,,,
2019,August,8/13/19,C,SGL103,A,CE,15,BLACK282,Y,WFM ,F,,,,,,,,,,,5,,,
2019,August,8/13/19,C,SGL103,A,C2,7,BLACK294,Y,WFM ,F,AD,,,,,,,,,,0,,,
2019,August,8/13/19,C,SGL103,A,C1,4,BLACK300,Y,WFM ,M,AD,,,,,,,,,,5,,,
2019,August,8/20/19,C,SGL103,A,C2,5,BLACK226,Y,WFM ,M,AD,,,,,,,,,,8,,,
2019,August,8/20/19,C,SGL103,A,CE,24,BLACK257,Y,WFM ,,,,,,,,,,,,11,,,
2019,August,8/20/19,C,SGL103,A,C1,3,BLACK282,Y,WFM ,F,,,,,,,,,,,7,,,
2019,August,8/20/19,C,SGL103,A,C2,2,BLACK294,Y,WFM ,F,AD,,,,,,,,,,6,,,
2019,August,8/20/19,C,SGL103,A,CE,13,BLACK300,Y,WFM ,M,AD,,,,,,,,,,9,,,
2019,August,8/29/19,C,SGL103,A,C1,9,BLACK226,Y,WFM ,M,AD,,,,,,,,,,9,,,
2019,August,8/29/19,C,SGL103,A,CE,23,BLACK257,Y,WFM ,,,,,,,,,,,,4,,,
2019,August,8/29/19,C,SGL103,A,C3,3,BLACK269,N,WFM ,M,AD,,,23,1.6,2.1,,10,,,3,,,
2019,August,8/29/19,C,SGL103,A,C1,8,BLACK282,Y,WFM ,F,,,,,,,,,,,1,,,
2019,August,8/29/19,C,SGL103,A,CE,15,BLACK294,Y,WFM ,F,AD,,,,,,,,,,0,,,
2019,July,7/3/19,C,SGL103,A,C2,9,BLACK226,N,WFM ,M,JUV,,,21,1.5,2,,7.5,,,6,,,
2019,July,7/9/19,C,SGL103,A,CE,15,BLACK226,Y,WFM ,M,AD,,,,,,,,,,8,,,
2019,July,7/16/19,C,SGL103,A,C1,2,BLACK226,Y,WFM ,M,AD,,,,,,,,,,17,,,
2019,July,7/16/19,C,SGL103,A,CE,16,GREEN246,N,WFM ,M,AD,,,19,1.5,2,,7.5,,,0,,,
2019,July,7/25/19,C,SGL103,A,C3,7,BLACK206,Y,WFM ,F,AD,,,,,,,,,,7,,,
2019,July,7/25/19,C,SGL103,A,CE,18,BLACK226,Y,WFM ,M,AD,,,,,,,,,,9,,,
2019,July,7/25/19,C,SGL103,A,CE,14,BLACK282,N,WFM ,F,JUV,,,14,1,2,,7.5,,,10,,,
2019,July,7/25/19,C,SGL103,A,CE,15,BLACK294,N,WFM ,F,AD,,,16,1,2,,8.5,,,2,,,
2019,July,7/25/19,C,SGL103,A,C3,4,GREEN246,Y,WFM ,M,AD,,,,,,,,,,9,,,
2019,July,7/30/19,C,SGL103,A,C2,3,BLACK226,Y,WFM ,M,AD,,,,,,,,,,5,,,
2019,July,7/30/19,C,SGL103,A,C1,7,BLACK282,Y,WFM ,F,JUV,,,,,,,,,,12,,,
2019,July,7/30/19,C,SGL103,A,CE,19,BLACK294,Y,WFM ,F,AD,,,,,,,,,,6,,,
2019,July,7/30/19,C,SGL103,A,C1,4,BLACK300,N,WFM ,M,AD,,,26,1.5,1.8,,10,,,20,,,
2019,July,7/30/19,C,SGL103,A,C2,9,GREEN246,Y,WFM ,M,AD,,,,,,,,,,21,,,
2019,June,6/5/19,C,SGL103,C,C2,1,BLACK430,Y,WFM ,M,AD,,,,,,,,,,,,,
2019,June,6/12/19,C,SGL103,C,C3,1,BLACK430,Y,WFM ,M,AD,,,,,,,,,,4,,,
2019,June,6/20/19,C,SGL103,A,C1,4,BLACK233,Y,WFM ,F,AD,,,,,,,,,,15,,,
2019,June,6/26/19,C,SGL103,A,C1,3,BLACK233,Y,WFM ,F,AD,,,,,,,,,,7,,,
2019,June,6/26/19,C,SGL103,A,C2,2,,,WFM ,,,,,,,,,,,,,,,
2019,May,5/7/19,C,SGL103,A,C1,2,BLACK233,N,WFM ,F,,,,,1.4,2,,9,,,1,,,
2019,May,5/16/19,C,SGL103,A,C3,9,BLACK206,N,WFM ,F,,,,25,1.5,1.8,,7.7,,,5,,,
2019,May,5/16/19,C,SGL103,C,C3,5,BLACK481,N,WFM ,M,,,,25,1.5,2,,7.1,,,0,,,
2019,May,5/21/19,C,SGL103,A,C3,7,BLACK119,N,WFM ,,AD,,,20,1.5,2,,7.5,,,5,,,
2019,May,5/21/19,C,SGL103,A,C3,6,BLACK206,Y,WFM ,F,AD,,,,,,,,,,27,,,
2019,May,5/21/19,C,SGL103,A,C1,1,BLACK233,Y,WFM ,F,AD,,,,,,,,,,3,,,
2019,May,5/21/19,C,SGL103,C,C3,3,BLACK430,N,WFM ,M,AD,,,21,1.4,2.2,,6,,,6,,,
2019,May,5/21/19,C,SGL103,C,C1,1,BLACK474,N,WFM ,M,AD,,,34,1,2.5,,8.5,,,10,,,
2019,May,5/29/19,C,SGL103,C,C3,1,BLACK430,Y,WFM ,M,AD,,,,,,,,,,1,,,
2021,August,8/3/2021,C,SGL176,SPRING CONTROL,,15,BLACK193,Y,WFM ,F,AD,51,29,22,1.5,,,,,,14,,,
2021,August,8/3/2021,C,SGL176,FALL CONTROL,,23,BLACK214,Y,WFM ,F,AD,38,13,25,2,,,,,,2,,,
2021,August,8/3/2021,C,SGL176,SPRING CONTROL,,8,BLUE153,N,WFM ,M,AD,34,14,20,1.6,,,,,,1,,,
2021,August,8/3/2021,C,SGL176,SPRING CONTROL,,1,BLUE156,N,WFM ,M,JUV,29,12,17,1.4,,,,,,8,,,
2021,August,8/3/2021,C,SGL176,SPRING CONTROL,,5,BLUE157,N,WFM ,F,AD,51,29,22,1.4,,,,,,0,,,
2021,August,8/3/2021,C,SGL176,FALL CONTROL,,25,BLUE160,N,WFM ,F,AD,53,31,22,0,,,,,,0,,,
2021,August,8/3/2021,C,SGL176,SUMMER CONTROL,,17,BLUE163,N,WFM ,M,AD,37,14,23,1.6,,,,,,0,,,
2021,August,8/3/2021,C,SGL176,SUMMER CONTROL,,21,BLUE165,N,WFM ,M,AD,28,10,18,1.5,,,,,,1,,,
2021,August,8/3/2021,C,SGL176,FALL CONTROL,,7,BLUE167,N,WFM ,F,AD,41,20,21,1.6,,,,,,2,,,
2021,August,8/3/2021,C,SGL176,FALL CONTROL,,28,BLUE177,N,WFM ,M,AD,31,14,17,1.4,,,,,,5,,,
2021,August,8/3/2021,C,SGL176,FALL CONTROL,,8,BLUE194,N,WFM ,M,AD,34,10,24,1.6,,,,,,2,,,
2021,August,8/3/2021,C,SGL176,SPRING CONTROL,,9,BLUE363,N,WFM ,F,JUV,36,20,16,1.5,,,,,,1,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,14,BLACK191,Y,WFM ,F,AD,50,24,26,1.4,,,,,,8,,,
2021,August,8/4/2021,C,SGL176,FALL CONTROL,,19,BLACK214,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,30,BLACK290,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,25,BLACK296,Y,WFM ,F,AD,46,13,33,,,,,,,18,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,25,BLACK296,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,11,BLUE153,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,15,BLUE156,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,5,BLUE157,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/4/2021,C,SGL176,FALL CONTROL,,28,BLUE160,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/4/2021,C,SGL176,SUMMER CONTROL,,17,BLUE165,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,8,BLUE169,N,WFM ,F,AD,39,22,17,1.4,,,,,,10,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,22,BLUE171,N,WFM ,F,AD,38,17,21,1.4,,,,,,14,,,
2021,August,8/4/2021,C,SGL176,FALL CONTROL,,23,GREEN205,N,WFM ,M,JUV,35,12,23,1.5,,,,,,9,,,
2021,August,8/4/2021,C,SGL176,FALL CONTROL,,12,GREEN210,N,WFM ,M,AD,35,16,19,1.75,,,,,,3,,,
2021,August,8/4/2021,C,SGL176,FALL CONTROL,,7,GREEN211,N,WFM ,M,AD,28,11,17,1.5,,,,,,9,,,
2021,August,8/4/2021,C,SGL176,SUMMER CONTROL,,30,RED308,N,WFM ,M,AD,45,21,24,1.8,,,,,,0,,,
2021,August,8/4/2021,C,SGL176,SUMMER CONTROL,,7,RED319,N,WFM ,M,AD,37,16,21,1.4,,,,,,17,,,
2021,August,8/4/2021,C,SGL176,SPRING CONTROL,,29,RED327,N,WFM ,F,AD,46,18,28,1.6,,,,,,4,,,
2021,August,8/4/2021,C,SGL176,FALL CONTROL,,6,RED423,N,WFM ,M,AD,,,,1.5,,,,,,18,,,
2021,August,8/5/2021,C,SGL176,SUMMER CONTROL,,6,BLACK202,Y,WFM ,M,AD,46,16,30,1.5,,,,,,19,,,
2021,August,8/5/2021,C,SGL176,SPRING CONTROL,,26,BLACK290,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,SPRING CONTROL,,9,BLUE153,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,SPRING CONTROL,,15,BLUE156,Y,WFM ,,,,,,,,,,,,,,,
2021,August,8/5/2021,C,SGL176,SPRING CONTROL,,4,BLUE157,Y,WFM ,,,,,,,,,,,,,,,
